"time"; "type"; "msg per second"; "mean"; "median"; "90% percentile"; "99% percentile"; "max";
22:01:03; 103; 50; 219.4; 212; 271; 332; 332;
22:01:04; 111; 2; 235.5; 262; 262; 262; 262;
22:01:04; 101; 47; 258.4255319148936; 248; 303; 457; 457;
22:01:04; 103; 53; 220.62264150943398; 210; 258; 410; 410;
22:01:04; 109; 2; 262.0; 274; 274; 274; 274;
22:01:05; 111; 4; 216.0; 224; 225; 225; 225;
22:01:05; 101; 49; 242.91836734693877; 243; 274; 293; 293;
22:01:05; 103; 54; 218.85185185185185; 214; 251; 274; 274;
22:01:05; 109; 3; 268.3333333333333; 264; 306; 306; 306;
22:01:06; 111; 1; 285.0; 285; 285; 285; 285;
22:01:06; 101; 47; 243.31914893617022; 242; 268; 290; 290;
22:01:06; 103; 46; 215.08695652173913; 209; 252; 333; 333;
22:01:06; 109; 2; 276.5; 285; 285; 285; 285;
22:01:07; 101; 45; 243.04444444444445; 242; 267; 327; 327;
22:01:07; 103; 38; 208.1578947368421; 210; 223; 274; 274;
22:01:08; 111; 5; 213.8; 202; 256; 256; 256;
22:01:08; 101; 53; 235.39622641509433; 238; 254; 274; 274;
22:01:08; 103; 53; 210.47169811320754; 206; 229; 276; 276;
22:01:08; 109; 7; 268.57142857142856; 256; 350; 350; 350;
22:01:09; 111; 17; 251.64705882352942; 246; 305; 309; 309;
22:01:09; 101; 92; 251.30434782608697; 242; 297; 455; 455;
22:01:09; 103; 113; 222.08849557522123; 215; 263; 287; 318;
22:01:09; 129; 1; 321.0; 321; 321; 321; 321;
22:01:09; 109; 28; 275.75; 273; 321; 426; 426;
22:01:10; 101; 51; 242.31372549019608; 243; 263; 306; 306;
22:01:10; 103; 45; 215.53333333333333; 211; 244; 320; 320;
22:01:10; 109; 3; 254.33333333333334; 250; 266; 266; 266;
22:01:11; 111; 5; 232.4; 226; 283; 283; 283;
22:01:11; 101; 70; 249.0142857142857; 245; 286; 349; 349;
22:01:11; 103; 78; 214.48717948717947; 207; 243; 487; 487;
22:01:11; 129; 1; 267.0; 267; 267; 267; 267;
22:01:11; 109; 10; 279.3; 268; 334; 334; 334;
22:01:12; 111; 2; 272.5; 287; 287; 287; 287;
22:01:12; 101; 61; 244.01639344262296; 242; 265; 298; 298;
22:01:12; 103; 57; 217.78947368421052; 212; 257; 446; 446;
22:01:12; 109; 2; 238.5; 243; 243; 243; 243;
22:01:13; 101; 67; 241.56716417910448; 237; 268; 330; 330;
22:01:13; 103; 63; 219.984126984127; 210; 254; 364; 364;
22:01:14; 111; 1; 224.0; 224; 224; 224; 224;
22:01:14; 101; 53; 241.43396226415095; 243; 259; 277; 277;
22:01:14; 103; 54; 217.85185185185185; 211; 271; 350; 350;
22:01:14; 109; 1; 245.0; 245; 245; 245; 245;
22:01:15; 111; 14; 208.78571428571428; 211; 252; 261; 261;
22:01:15; 101; 43; 241.53488372093022; 242; 263; 318; 318;
22:01:15; 103; 42; 225.04761904761904; 212; 247; 682; 682;
22:01:15; 109; 14; 296.35714285714283; 303; 329; 361; 361;
22:01:16; 101; 48; 246.72916666666666; 246; 276; 322; 322;
22:01:16; 103; 44; 220.3409090909091; 211; 279; 354; 354;
22:01:16; 129; 1; 246.0; 246; 246; 246; 246;
22:01:17; 101; 59; 241.08474576271186; 239; 263; 327; 327;
22:01:17; 103; 66; 212.56060606060606; 208; 252; 327; 327;
22:01:18; 101; 74; 247.0; 242; 289; 355; 355;
22:01:18; 103; 80; 221.0125; 210; 259; 449; 449;
22:01:18; 129; 1; 260.0; 260; 260; 260; 260;
22:01:19; 111; 1; 230.0; 230; 230; 230; 230;
22:01:19; 101; 44; 236.54545454545453; 239; 258; 282; 282;
22:01:19; 103; 46; 207.7391304347826; 209; 221; 287; 287;
22:01:19; 109; 1; 237.0; 237; 237; 237; 237;
22:01:20; 101; 47; 244.72340425531914; 244; 262; 499; 499;
22:01:20; 103; 42; 214.73809523809524; 214; 235; 330; 330;
22:00:50; 101; 1; 225.0; 225; 225; 225; 225;
22:01:21; 101; 40; 239.55; 243; 263; 293; 293;
22:01:21; 103; 44; 216.79545454545453; 211; 244; 505; 505;
22:01:22; 101; 49; 249.40816326530611; 243; 293; 376; 376;
22:01:22; 103; 51; 214.62745098039215; 211; 245; 330; 330;
22:01:22; 129; 1; 314.0; 314; 314; 314; 314;
22:01:23; 111; 8; 224.25; 216; 306; 306; 306;
22:01:23; 101; 50; 245.46; 242; 282; 296; 296;
22:01:23; 103; 44; 218.6590909090909; 213; 248; 439; 439;
22:01:23; 109; 8; 253.125; 247; 313; 313; 313;
22:01:24; 101; 53; 246.0188679245283; 245; 272; 310; 310;
22:01:24; 103; 47; 224.85106382978722; 211; 280; 385; 385;
22:01:24; 109; 1; 243.0; 243; 243; 243; 243;
22:01:25; 111; 7; 230.57142857142858; 221; 269; 269; 269;
22:01:25; 101; 39; 249.2051282051282; 246; 283; 302; 302;
22:01:25; 103; 40; 212.475; 212; 240; 262; 262;
22:01:25; 109; 6; 253.5; 256; 257; 257; 257;
22:01:26; 101; 42; 247.02380952380952; 246; 272; 375; 375;
22:01:26; 103; 39; 223.51282051282053; 214; 257; 347; 347;
22:01:26; 109; 1; 258.0; 258; 258; 258; 258;
22:01:27; 111; 5; 232.0; 220; 288; 288; 288;
22:01:27; 101; 48; 244.64583333333334; 245; 266; 317; 317;
22:01:27; 103; 42; 212.9047619047619; 210; 245; 291; 291;
22:01:27; 109; 5; 239.0; 241; 242; 242; 242;
22:01:28; 111; 3; 211.33333333333334; 211; 221; 221; 221;
22:01:28; 101; 47; 243.36170212765958; 244; 265; 321; 321;
22:01:28; 103; 47; 219.36170212765958; 211; 256; 535; 535;
22:01:28; 109; 4; 249.5; 252; 255; 255; 255;
22:01:29; 111; 2; 211.5; 216; 216; 216; 216;
22:01:29; 101; 41; 245.46341463414635; 245; 261; 329; 329;
22:01:29; 103; 37; 222.43243243243242; 212; 263; 290; 290;
22:01:29; 109; 2; 256.5; 258; 258; 258; 258;
22:01:30; 111; 15; 219.66666666666666; 210; 256; 261; 261;
22:01:30; 101; 40; 250.225; 248; 270; 314; 314;
22:01:30; 103; 38; 223.73684210526315; 214; 270; 362; 362;
22:01:30; 109; 15; 283.93333333333334; 269; 334; 354; 354;
22:01:31; 111; 5; 241.6; 220; 354; 354; 354;
22:01:31; 101; 48; 238.45833333333334; 240; 263; 292; 292;
22:01:31; 103; 45; 222.9111111111111; 214; 262; 305; 305;
22:01:31; 109; 4; 266.25; 256; 319; 319; 319;
22:01:32; 111; 4; 232.25; 220; 275; 275; 275;
22:01:32; 101; 61; 247.01639344262296; 245; 278; 315; 315;
22:01:32; 103; 62; 225.41935483870967; 213; 263; 519; 519;
22:01:32; 109; 4; 247.25; 242; 272; 272; 272;
22:01:33; 111; 1; 204.0; 204; 204; 204; 204;
22:01:33; 101; 54; 246.25925925925927; 244; 270; 323; 323;
22:01:33; 103; 54; 220.5; 215; 257; 343; 343;
22:01:33; 109; 1; 243.0; 243; 243; 243; 243;
22:01:34; 111; 2; 233.0; 239; 239; 239; 239;
22:01:34; 101; 51; 239.62745098039215; 238; 263; 298; 298;
22:01:34; 103; 50; 218.84; 211; 258; 359; 359;
22:01:34; 109; 3; 244.66666666666666; 243; 254; 254; 254;
22:01:35; 101; 39; 243.28205128205127; 239; 265; 391; 391;
22:01:35; 103; 42; 212.85714285714286; 211; 235; 285; 285;
22:01:35; 109; 1; 279.0; 279; 279; 279; 279;
22:01:36; 101; 45; 243.82222222222222; 244; 262; 297; 297;
22:01:36; 103; 40; 210.775; 212; 229; 260; 260;
22:01:36; 109; 1; 298.0; 298; 298; 298; 298;
22:01:37; 111; 7; 246.28571428571428; 236; 290; 290; 290;
22:01:37; 101; 41; 253.390243902439; 248; 298; 325; 325;
22:01:37; 103; 40; 219.15; 213; 259; 393; 393;
22:01:37; 109; 7; 257.14285714285717; 252; 287; 287; 287;
22:01:38; 101; 50; 249.76; 248; 290; 337; 337;
22:01:38; 103; 53; 220.49056603773585; 213; 254; 329; 329;
22:01:39; 111; 3; 242.33333333333334; 220; 308; 308; 308;
